trade_family,trade_group,trade_type,column_name,xpath,datatype,nullable,default,enriched_table,curated_mapping
IRD,IRS,,leg1_payout_type,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=2]/payoutType,StringType,TRUE,,murex_trade_ird_irs,LEG1FV
IRD,IRS,,leg1_index_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=2]/floatingRateStreamTemplate/index/indexLabel,StringType,TRUE,,murex_trade_ird_irs,LEG1IND
IRD,IRS,,leg1_rate_convention_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,StringType,TRUE,,murex_trade_ird_irs,LEG1DC
IRD,IRS,,leg1_frequency_period_unit,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodUnit,StringType,TRUE,,murex_trade_ird_irs,LEG1PFREQ
IRD,IRS,,leg1_frequency_period_multiplier,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodMultiplier,IntegerType,TRUE,,murex_trade_ird_irs,LEG1PFREQ
IRD,IRS,,leg1_notional_amount,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,DecimalType,TRUE,,murex_trade_ird_irs,LEG1NOM
IRD,IRS,,leg1_reference_capital_currency,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/capital/referenceCapitalCurrency,StringType,TRUE,,murex_trade_ird_irs,LEG1CUR
IRD,IRS,,leg1_fixed_rate,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/fixedRateStream/fixedRate,DecimalType,TRUE,0,murex_trade_ird_irs,LEG1RATE
IRD,IRS,,leg1_margin,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/floatingRateStream/margin,DecimalType,TRUE,0,murex_trade_ird_irs,LEG1MARGIN
IRD,IRS,,leg1_effective_date,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/effectiveDate,DateType,TRUE,,murex_trade_ird_irs,LEG1S
IRD,IRS,,leg1_maturity,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/maturity,DateType,TRUE,,murex_trade_ird_irs,LEG1E
IRD,IRS,,collateral_agreement_category,/MxML/trades/trade/tradeHeader/tradeCategory/collateralAgreementCategory,StringType,TRUE,,murex_trade_ird_irs,CSA
IRD,IRS,,trade_amount,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,DecimalType,TRUE,,murex_trade_ird_irs,TRADED_AMT
CURR,FXD,FXD,trade_global_id,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,StringType,FALSE,,murex_trade_curr_fxd_fxd,GLOBALID
CURR,FXD,FXD,entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,legal_entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,contract_id,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,StringType,TRUE,,murex_trade_curr_fxd_fxd,MUREXCONT
CURR,FXD,FXD,root_contract_id,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,trade_id,/MxML/trades/trade/businessObjectId/identifier,StringType,FALSE,,murex_trade_curr_fxd_fxd,TRADENUMB
CURR,FXD,FXD,version_number,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,trade_origin_id,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,StringType,TRUE,,murex_trade_curr_fxd_fxd,
CURR,FXD,FXD,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,murex_trade_curr_fxd_fxd,TRADETIME
CURR,FXD,FXD,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,murex_trade_curr_fxd_fxd,STATUS
CURR,FXD,FXD,instrument_name,/MxML/trades/trade/tradeBody/fxSpotForward/riskSection,StringType,TRUE,,murex_trade_curr_fxd_fxd,INSTRUMEN CURVSCURR
CURR,FXD,FXD,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,murex_trade_curr_fxd_fxd,
