Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,murex_trade_curr_fxd_swleg,entity,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,murex_trade_curr_fxd_swleg,legal_entity,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,murex_trade_curr_fxd_swleg,contract_id,StringType,TRUE,,,MUREXCONT,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,murex_trade_curr_fxd_swleg,root_contract_id,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/businessObjectId/identifier,murex_trade_curr_fxd_swleg,trade_id,StringType,FALSE,,,TRADENUMB,,,
CURR,FXD,SWLEG,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,murex_trade_curr_fxd_swleg,version_number,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,murex_trade_curr_fxd_swleg,trade_origin_id,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeDate,murex_trade_curr_fxd_swleg,trade_date,DateType,FALSE,,,TRADETIME,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeInputConditions/computerTime,murex_trade_curr_fxd_swleg,trade_time,TimestampType,FALSE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeStatus/physicalStatus,murex_trade_curr_fxd_swleg,trade_status,StringType,TRUE,,,STATUS,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeBody/fxSpotForward/riskSection,murex_trade_curr_fxd_swleg,instrument_name,StringType,TRUE,,,INSTRUMEN CURVSCURR,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,murex_trade_curr_fxd_swleg,trade_typology_id,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,murex_trade_curr_fxd_swleg,trade_family,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,murex_trade_curr_fxd_swleg,trade_group,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,murex_trade_curr_fxd_swleg,trade_type,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/typology,murex_trade_curr_fxd_swleg,typology,StringType,TRUE,,,TYPOLOGY,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,murex_trade_curr_fxd_swleg,main_typology_path,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/tradeHeader/tradeCategory/usage,murex_trade_curr_fxd_swleg,usage,StringType,TRUE,,,,,,
CURR,FXD,SWLEG,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,murex_trade_curr_fxd_swleg,portfolio_label,StringType,TRUE,,,PORTFOLIO,,,
